Cluster,Lag,Autocorrelation
0,0,1.0
0,1,0.9791657150413291
0,2,0.9583314300826578
0,3,0.9374971451239869
0,4,0.9166628601653157
0,5,0.8958285752066445
0,6,0.8749942902479734
0,7,0.8541600052893022
0,8,0.8333257203306311
0,9,0.81249143537196
0,10,0.7916571504132889
0,11,0.7708228654546176
0,12,0.7499885804959466
0,13,0.7291542955372754
0,14,0.7083200105786044
0,15,0.6874857256199333
0,16,0.6666514406612619
0,17,0.6458171557025909
0,18,0.6249828707439199
0,19,0.6041485857852487
0,20,0.5833143008265775
1,0,1.0
1,1,0.9538136142244338
1,2,0.9076272284488675
1,3,0.8614408426733011
1,4,0.8152544568977348
1,5,0.7690680711221686
1,6,0.7228816853466022
1,7,0.6766952995710359
1,8,0.6305089137954696
1,9,0.5843225280199035
1,10,0.538136142244337
1,11,0.49194975646877087
1,12,0.4457633706932044
1,13,0.3995769849176381
1,14,0.3533905991420719
1,15,0.3072042133665055
1,16,0.26101782759093917
1,17,0.21483144181537295
1,18,0.16864505603980667
1,19,0.12245867026424029
1,20,0.076272284488674
2,0,1.0
2,1,0.9773808056384814
2,2,0.9547616112769628
2,3,0.932142416915444
2,4,0.9095232225539255
2,5,0.8869040281924069
2,6,0.8642848338308883
2,7,0.8416656394693693
2,8,0.8190464451078507
2,9,0.7964272507463321
2,10,0.7738080563848135
2,11,0.7511888620232948
2,12,0.7285696676617762
2,13,0.7059504733002574
2,14,0.6833312789387388
2,15,0.6607120845772202
2,16,0.6380928902157015
2,17,0.6154736958541829
2,18,0.5928545014926642
2,19,0.5702353071311456
2,20,0.547616112769627
