cluster,year,avg_happiness_score
0,2015,5.683362068965517
0,2016,5.967767441860465
0,2017,5.624652173913043
0,2018,5.6311447368421055
0,2019,5.613156626506024
0,2020,5.662392405063291
0,2021,5.981
0,2022,5.7274594594594594
0,2023,5.738944444444445
1,2015,6.939159999999999
1,2016,7.0009999999999994
1,2017,6.82548
1,2018,6.902909090909091
1,2019,6.938761904761905
1,2020,6.939782608695652
1,2021,7.030952380952381
1,2022,6.95116
1,2023,6.872769230769231
2,2015,4.438291666666667
2,2016,4.632348484848485
2,2017,4.322837837837838
2,2018,4.360757575757575
2,2019,4.379148148148148
2,2020,4.486275862068966
2,2021,4.816553571428571
2,2022,4.37646875
2,2023,4.28269696969697
