Actual Happiness Scores,Predicted Happiness Scores
5.129,5.139
5.689,5.908
7.076,6.886
5.758,5.609
4.875,3.873
6.494,6.414
6.911,6.185
5.182,5.183
7.228,7.164
5.975,6.012
3.145,4.053
5.273,5.606
6.3,5.825
6.223,6.144
6.259,5.809
6.91,7.158
5.517,5.74
6.218,5.987
5.347,5.424
5.384,5.708
5.92,6.575
6.65,5.569
3.663,4.592
4.275,4.376
5.33,5.511
5.267,4.489
6.455,5.817
6.791,6.676
5.779,5.54
4.514,4.72
7.291,6.831
6.664,6.729
6.786,6.031
3.303,4.77
3.36,3.33
5.41,6.219
5.122,5.258
5.88,5.215
5.629,5.846
5.911,6.333
4.46,4.559
5.24,5.896
4.218,5.343
6.357,5.672
6.447,6.828
4.073,4.261
6.189,6.208
5.845,5.68
5.848,6.323
5.987,5.741
5.723,5.231
4.509,5.031
4.415,5.553
5.192,5.435
6.773,6.897
5.77,5.939
6.965,5.924
7.842,6.79
5.716,5.428
6.512,6.471
6.961,6.96
6.039,6.618
3.575,3.774
4.571,3.691
4.941,4.923
4.839,5.408
4.442,5.693
6.596,5.682
4.168,5.232
7.554,7.354
7.164,6.961
5.611,6.188
3.507,4.023
5.303,5.185
4.719,5.447
6.454,6.296
5.661,5.781
4.297,5.154
5.175,5.463
6.814,6.857
6.382,5.622
4.375,4.471
4.959,5.262
4.735,4.999
5.477,6.359
4.028,4.24
4.548,5.494
4.332,4.723
5.533,5.813
4.032,4.271
6.123,6.145
4.292,4.394
7.586,7.356
5.79,5.91
6.796,6.779
4.631,4.692
6.173,5.88
4.561,5.283
4.193,3.774
4.151,5.089
6.419,5.82
4.743,4.908
4.852,4.716
5.459,5.811
5.948,5.883
7.324,6.769
5.005,5.098
5.902,5.451
6.48,7.614
3.982,4.659
6.105,6.325
7.315,7.335
6.18,5.791
5.399,5.903
5.828,5.727
4.019,4.007
6.442,6.416
4.813,4.864
6.892,6.529
4.34,4.995
5.145,5.134
4.236,4.26
7.054,6.905
6.049,5.675
2.404,3.224
6.379,5.764
6.489,6.516
4.906,5.621
5.546,5.679
6.535,6.351
6.726,6.908
5.547,5.879
4.724,5.241
4.283,4.778
6.578,5.755
6.491,6.052
5.269,4.851
4.107,3.529
6.422,6.134
6.609,6.246
5.711,6.256
6.892,6.829
6.993,6.61
3.76,4.738
5.314,5.171
5.515,5.546
4.934,4.324
4.642,4.769
7.183,6.706
6.455,6.091
6.078,5.368
6.166,5.842
5.964,5.971
6.461,6.206
7.163,7.0
5.373,5.632
6.545,6.005
5.432,5.772
4.788,5.113
5.631,5.661
5.929,5.897
7.488,7.114
6.1,5.689
7.097,6.792
4.941,5.053
5.324,5.411
5.103,5.803
5.743,5.939
6.711,6.249
7.554,6.652
4.973,4.45
4.559,4.668
7.278,6.185
6.255,5.641
4.517,4.49
4.201,4.188
5.605,5.201
4.327,5.83
3.203,3.448
7.494,7.195
4.769,4.255
7.636,7.463
4.394,5.539
5.662,5.378
5.684,5.515
4.872,4.981
6.182,6.201
4.535,4.767
3.75,4.414
1.859,2.92
5.915,6.633
6.584,5.915
5.101,5.121
5.053,5.325
4.603,4.795
5.716,5.117
4.395,4.923
7.284,7.149
6.852,6.229
6.227,6.519
5.828,5.868
4.805,4.982
4.12,4.544
3.819,4.73
6.179,5.886
4.885,5.797
5.132,4.046
5.208,5.179
6.098,5.792
3.34,4.043
6.763,6.073
7.072,6.277
4.933,5.623
5.398,5.405
5.342,4.097
7.494,7.065
7.404,7.363
5.766,5.218
4.137,4.247
5.102,5.962
5.797,5.742
7.334,6.906
5.279,5.122
7.56,7.343
3.849,3.626
5.429,5.911
7.267,5.947
7.48,7.272
4.545,5.36
5.211,4.327
7.313,6.801
3.632,3.461
6.483,5.725
4.655,4.938
6.016,6.394
6.122,5.801
